epoch,train_loss,valid_auc,valid_nll
1,0.6321,0.6074,0.6004
2,0.6007,0.6185,0.5957
3,0.5866,0.6292,0.5933
4,0.5777,0.6301,0.5929
5,0.5705,0.6303,0.5946
6,0.5645,0.6256,0.6006
7,0.5594,0.6245,0.6025
8,0.5553,0.6223,0.6039
9,0.5519,0.6204,0.608
10,0.5497,0.6166,0.6143
11,0.5481,0.6093,0.6177
12,0.5482,0.6101,0.6182
13,0.5455,0.6142,0.6223
14,0.5435,0.6098,0.6242
15,0.5403,0.6084,0.6283
