epoch,train_loss,valid_auc,valid_nll
1,0.63,0.6041,0.6
2,0.5993,0.6114,0.593
3,0.5894,0.6189,0.5919
4,0.582,0.6244,0.5938
5,0.5743,0.625,0.597
6,0.5678,0.6213,0.6046
7,0.5636,0.6164,0.6083
8,0.5621,0.6112,0.6042
9,0.5576,0.6141,0.6067
10,0.5531,0.6114,0.6088
11,0.5485,0.6087,0.6187
12,0.5461,0.6069,0.6196
13,0.5437,0.6053,0.6181
14,0.5408,0.6034,0.621
15,0.5392,0.6033,0.6261
