epoch,train_loss,valid_auc,valid_nll
1,0.6278,0.5953,0.6047
2,0.6005,0.6118,0.5915
3,0.5905,0.6185,0.591
4,0.5837,0.623,0.5917
5,0.5768,0.6242,0.5963
6,0.5723,0.6168,0.6049
7,0.5715,0.615,0.5987
8,0.5649,0.6138,0.6022
9,0.5594,0.6141,0.6045
10,0.5549,0.6104,0.6144
11,0.5536,0.6084,0.6132
12,0.5506,0.6057,0.6121
13,0.547,0.6073,0.6141
14,0.5438,0.6051,0.6203
15,0.5415,0.6036,0.627
