epoch,train_loss,valid_auc,valid_nll
1,0.63,0.602,0.6052
2,0.5997,0.6114,0.6028
3,0.588,0.6192,0.6023
4,0.5802,0.621,0.5999
5,0.5734,0.6232,0.5986
6,0.5659,0.6216,0.6015
7,0.5597,0.6152,0.608
8,0.5555,0.6105,0.6157
9,0.5527,0.6083,0.6219
10,0.5503,0.6084,0.6305
11,0.5508,0.6024,0.6327
12,0.5511,0.5936,0.6398
13,0.5514,0.6078,0.6327
14,0.5486,0.604,0.6289
15,0.5434,0.6017,0.6334
