epoch,train_loss,valid_auc,valid_nll
1,0.6309,0.5994,0.6122
2,0.6035,0.612,0.6018
3,0.593,0.6171,0.6012
4,0.5866,0.6267,0.5992
5,0.5788,0.6274,0.6023
6,0.5749,0.6279,0.6057
7,0.57,0.621,0.6063
8,0.565,0.6209,0.6081
9,0.559,0.6198,0.6116
10,0.555,0.6192,0.614
11,0.5514,0.6154,0.62
12,0.5495,0.6131,0.6224
13,0.5471,0.6149,0.6235
14,0.5439,0.6094,0.6293
15,0.5426,0.6085,0.6319
16,0.5407,0.6073,0.6326
