epoch,train_loss,valid_auc,valid_nll
1,0.632,0.6028,0.6082
2,0.6008,0.6176,0.6001
3,0.5917,0.6212,0.5998
4,0.5846,0.6241,0.6011
5,0.5782,0.6239,0.6026
6,0.5722,0.6239,0.6041
7,0.5657,0.6236,0.6063
8,0.5608,0.6209,0.6104
9,0.5569,0.616,0.6144
10,0.5531,0.6138,0.6173
11,0.5494,0.6115,0.6224
12,0.5474,0.6098,0.6263
13,0.5464,0.6085,0.6344
14,0.5456,0.6057,0.6358
