epoch,train_loss,valid_auc,valid_nll
1,0.6282,0.6031,0.6025
2,0.6015,0.6075,0.5942
3,0.591,0.6187,0.5913
4,0.5841,0.6247,0.591
5,0.5774,0.6262,0.5947
6,0.5722,0.6209,0.5992
7,0.5695,0.6192,0.5983
8,0.5643,0.6158,0.6009
9,0.5591,0.6143,0.6032
10,0.5556,0.6151,0.6076
11,0.5533,0.6107,0.6173
12,0.5527,0.6092,0.6124
13,0.5493,0.6062,0.614
14,0.5475,0.6075,0.6158
15,0.543,0.6047,0.6234
