epoch,train_loss,valid_auc,valid_nll
1,0.6284,0.6032,0.6019
2,0.6009,0.6072,0.5944
3,0.5905,0.619,0.5913
4,0.5834,0.6252,0.5912
5,0.5761,0.6248,0.5933
6,0.57,0.6221,0.5989
7,0.5658,0.6203,0.6038
8,0.5634,0.6136,0.6114
9,0.5644,0.6107,0.6033
10,0.5578,0.6139,0.6059
11,0.5523,0.6102,0.6124
12,0.5485,0.6077,0.6172
13,0.5464,0.6039,0.6168
14,0.5433,0.6023,0.6208
