dataset,fold_id,edge_type,directed,num_nodes,num_edges,density,avg_degree,weight_min,weight_mean,weight_max,weight_std
assist2012,0,E_pre,True,255.0,32385,0.5,254.0,1.0,1.0,1.0,0.0
assist2012,0,E_sim_train,,,0,,,,,,
assist2012,0,E_co,False,244.0,10154,0.342508,83.2295,0.0005,1.2127,7.8846,0.9318
