epoch,train_loss,valid_auc,valid_nll
1,0.6299,0.5975,0.6088
2,0.6032,0.6087,0.5972
3,0.592,0.6145,0.5971
4,0.5845,0.6177,0.5975
5,0.5766,0.6197,0.5995
6,0.5702,0.6197,0.6026
7,0.5657,0.6126,0.6129
8,0.5633,0.611,0.6108
9,0.562,0.6098,0.6097
10,0.555,0.6105,0.6114
11,0.5495,0.6072,0.6198
12,0.5466,0.6066,0.6218
13,0.5443,0.6049,0.6216
14,0.5403,0.6029,0.6264
15,0.5385,0.6019,0.6309
