epoch,train_loss,valid_auc,valid_nll
1,0.6223,0.6452,0.5941
2,0.5925,0.6595,0.5864
3,0.5877,0.6623,0.5853
4,0.5856,0.6669,0.5832
5,0.5845,0.6674,0.5827
6,0.5835,0.6686,0.5822
7,0.583,0.6696,0.5817
8,0.5827,0.6698,0.5815
9,0.5824,0.67,0.5814
10,0.5824,0.6701,0.5814
11,0.5825,0.6703,0.5813
12,0.5824,0.6705,0.5813
13,0.5823,0.6705,0.5813
14,0.5821,0.6704,0.5813
15,0.5819,0.6705,0.5813
