epoch,train_loss,valid_auc,valid_nll
1,0.6191,0.6422,0.5963
2,0.5927,0.6573,0.5883
3,0.5878,0.6636,0.5848
4,0.5857,0.6657,0.5838
5,0.5847,0.6676,0.5831
6,0.5838,0.6682,0.5828
7,0.5833,0.6688,0.5824
8,0.5829,0.6691,0.5822
9,0.5827,0.6693,0.582
10,0.5826,0.6695,0.5817
11,0.5825,0.6697,0.5816
12,0.5824,0.6698,0.5815
13,0.5823,0.6698,0.5816
14,0.5822,0.6698,0.5816
