epoch,train_loss,valid_auc,valid_nll
1,0.6325,0.6061,0.6081
2,0.6013,0.6205,0.6029
3,0.5876,0.6353,0.6006
4,0.5798,0.6384,0.5968
5,0.5721,0.6361,0.5978
6,0.5653,0.63,0.6024
7,0.5601,0.6269,0.6059
8,0.5559,0.6241,0.6108
9,0.5519,0.6216,0.6158
10,0.5479,0.6134,0.6251
11,0.5461,0.6096,0.6323
12,0.5473,0.6102,0.6357
13,0.5492,0.6127,0.6298
14,0.5469,0.611,0.6325
